Ponto;Latitude;Longitude
R. Laurindo Rabêlo, 184 - Estácio, Rio de Janeiro - RJ, 20250-150, Brazil;-22.9161608;-43.2033719
R. Eng. Morsing, 228 - Grajau, Rio de Janeiro - RJ, 20561-220, Brazil;-22.9259347;-43.2623788
R. Tancredo Neves, s/n - Bonsucesso, Rio de Janeiro - RJ, 21040-190, Brazil;-22.8595871;-43.2385504
Rua Werneck da Silva ( Historiador) 283 - Recreio dos Bandeirantes, Rio de Janeiro - RJ, 22790-832, Brazil;-23.0144844;-43.4727984
R. Salustiano Silva, Nº 0 - Magalhães Bastos, Rio de Janeiro - RJ, 21745-590, Brazil;-22.8727929;-43.4082954
Tv. Eufrates - Cidade de Deus, Rio de Janeiro - RJ, 22773-060, Brazil;-22.9478637;-43.3652225
Praia do Zumbi, 25 - Ribeira, Rio de Janeiro - RJ, 21930-155, Brazil;-22.8213579;-43.17405290000001
Rua Maruja, 201 - Gardênia Azul, Rio de Janeiro - RJ, 22765-570, Brazil;-22.9592171;-43.3508173
R. Sd. Teodoro Ribeiro, 170 - Irajá, Rio de Janeiro - RJ, 21231, Brazil;-22.8236928;-43.32039289999999
R. Albano, 219 - Praça Seca, Rio de Janeiro - RJ, 22733-010, Brazil;-22.9027656;-43.3541462
R. Cenira Campos, Rio de Janeiro - RJ, Brazil;-22.8749724;-43.5034297
Praça Santa Rosalia, 100 - Penha, Rio de Janeiro - RJ, 21070-440, Brazil;-22.8456399;-43.28406529999999
R. Ademar Serpa - Benfica, Rio de Janeiro - RJ, 20911-292, Brazil;-22.8893855;-43.2424886
R. Nossa Sra. das Graças, 699 - Ramos, Rio de Janeiro - RJ, 21031-612, Brazil;-22.8499984;-43.2564374
R. Primeira Cruz, 42 - Campo Grande, Rio de Janeiro - RJ, 23085-710, Brazil;-22.8941941;-43.5578301
Rua Dario de Paula Coelho - Campo Grande, Rio de Janeiro - RJ, 23092-720, Brazil;-22.8823548;-43.538851
R. Maturaca - Penha, Rio de Janeiro - RJ, 21210-360, Brazil;-22.8463727;-43.29719009999999
Av. Um - Sepetiba, Rio de Janeiro - RJ, 23547, Brazil;-22.9529335;-43.6860291
Rua Romero Zander, 420 - Ramos, Rio de Janeiro - RJ, 21040-080, Brazil;-22.857205;-43.255235
Av. João Ribeiro, 389 - Pilares, Rio de Janeiro - RJ, 20750-092, Brazil;-22.8734377;-43.2979012
R. Antenor Nascentes, 340 - Lins de Vasconcelos, Rio de Janeiro - RJ, 20710-150, Brazil;-22.9063482;-43.2733741
R. Euclídes da Rocha, 120 - Copacabana, Rio de Janeiro - RJ, 22031-100, Brazil;-22.962546;-43.19241299999999
R. José Janoni - Campo Grande, Rio de Janeiro - RJ, 23073, Brazil;-22.8934136;-43.5880291
Rua X esquina com - PAL 19600 Guaratiba Rio de Janeiro 23026010 BR - Av. Alto Maranhão - Guaratiba, Rio de Janeiro - RJ, 23026-410, Brazil;-22.989995;-43.64028800000001
Av. Paranapuã, 204 - Freguesia, Rio de Janeiro - RJ, 21910-003, Brazil;-22.7938777;-43.1731182
R. do Desenhista - Bangu, Rio de Janeiro - RJ, 21842-030, Brazil;-22.8700287;-43.4775467
Av. Salvador de Sá, 206-208 - Cidade Nova, Rio de Janeiro - RJ, 20211-140, Brazil;-22.9125501;-43.2017818
R. Umbuzeiro, 455 - Ricardo de Albuquerque, Rio de Janeiro - RJ, 21620-610, Brazil;-22.837522;-43.399277
Estrada de Furnas, próximo ao nº 1.467 - Alto da Boa Vista, Rio de Janeiro - RJ, 20531-570, Brazil;-22.9767084;-43.2899859
Estrada do Curipós s/n, em frente ao 746 - R. Projetada B - Anil, Rio de Janeiro - RJ, 22753-330, Brazil;-22.9646706;-43.3436295
R. Cilon Cunha Brum, s/n - Paciência, Rio de Janeiro - RJ, 23573-040, Brazil;-22.913639;-43.6564996
Rua Abélia, 340 - Jardim Guanabara, Rio de Janeiro - RJ, 21940-010, Brazil;-22.8100938;-43.1966958
R. Álvaro Fausto de Souza, 420 - Santa Cruz, Rio de Janeiro - RJ, 23565-250, Brazil;-22.8875372;-43.719833
R. Srg. Silva Nunes, 1008 - Maré, Rio de Janeiro - RJ, 21044-242, Brazil;-22.8543842;-43.2424146
R. Min. Aliomar Baleeiro, 345 - Recreio dos Bandeirantes, Rio de Janeiro - RJ, 22790-550, Brazil;-23.018795;-43.479751
23575-275 - Estr. dos Palmares, 496-1314 - Paciência, Rio de Janeiro - RJ, 23575-275, Brazil;-22.8765938;-43.63647220000001
Estr. de Sepetiba, 93 - Sepetiba, Rio de Janeiro - RJ, 23520-660, Brazil;-22.9688656;-43.7076786
Rua Alexis Carrel, 1 - Guaratiba, Rio de Janeiro - RJ, 23028-045, Brazil;-22.9766916;-43.6706644
Pça. Esplanada, s/n - Penha Circular, Rio de Janeiro - RJ, 21012-010, Brazil;-22.8255456;-43.2785331
Av. dos Campeões, S/N - Bonsucesso, Rio de Janeiro - RJ, 21040-010, Brazil;-22.8550175;-43.2542283
R. Francolim, 50 - Guadalupe, Rio de Janeiro - RJ, 21660-130, Brazil;-22.840091;-43.380606
R. Manoel da Luz - Vigário Geral, Rio de Janeiro - RJ, 21241, Brazil;-22.8074478;-43.3038293
R. Infante de Sagres - Rio Comprido, Rio de Janeiro - RJ, 20261, Brazil;-22.9274798;-43.2137386
R. Marapendi, 257 - Mal. Hermes, Rio de Janeiro - RJ, 21557-130, Brazil;-22.8568787;-43.3736738
R. Paranapanema, 1.001 - Olaria, Rio de Janeiro - RJ, 21073-185, Brazil;-22.849278;-43.2726789
R. Cincinato de Freitas - Santa Cruz, Rio de Janeiro - RJ, 23525, Brazil;-22.9460043;-43.6807837
Rua M, 74 Conj. Hab - Estr. do Taquaral - Senador Camará, Rio de Janeiro - RJ, 21842-550, Brazil;-22.869456;-43.485903
Estr. Cabuçu de Baixo, 890 - Guaratiba, Rio de Janeiro - RJ, 23036-060, Brazil;-22.9429001;-43.58225119999999
R. Noêmio da Silveira, 150 - Tauá, Rio de Janeiro - RJ, 21910-265, Brazil;-22.7973392;-43.1822016
R. Henrique Lacombe, S/N - J. Guanabara, Rio de Janeiro - RJ, 21931-200, Brazil;-22.8162827;-43.1971125
R. Bérgamo, 342 - Triagem, Rio de Janeiro - RJ, 20960-045, Brazil;-22.8966753;-43.245079
R. Manuel Corrêa, 199, Rio de Janeiro - RJ, 20750, Brazil;-22.8760214;-43.305538
R. Arquimedes Memória - Penha Circular, Rio de Janeiro - RJ, 21210-024, Brazil;-22.8451952;-43.3048741
R. Monsenhor Ladeira - Pavuna, Rio de Janeiro - RJ, 21650, Brazil;-22.8165831;-43.372355
Rua Adolfo Bergamini, 231 - Engenho de Dentro, Rio de Janeiro - RJ, 20730-000, Brazil;-22.9007437;-43.2960204
R. Gustavo Augusto de Resende, 541 - Portuguesa, Rio de Janeiro - RJ, 21931-576, Brazil;-22.7994564;-43.207285
Av. Brasil, 18476 - Acari, Rio de Janeiro - RJ, 21531-315, Brazil;-22.825555;-43.337392
R. Ernestina de Mattos - Santa Cruz, Rio de Janeiro - RJ, 23595, Brazil;-22.924795;-43.6452758
R. Laurindo Rabêlo, 554 - Estácio, Rio de Janeiro - RJ, 20250-150, Brazil;-22.9196421;-43.2033314
Av. Benedicto da Motta - Campo Grande, Rio de Janeiro - RJ, Brazil;-22.9227932;-43.5419525
Av. Cesário de Melo, Rio de Janeiro - RJ, Brazil;-22.9142585;-43.6026029
Rua Wilson - R. Wilsom de Lasheras Silva, S/N - Olaria, Rio de Janeiro - RJ, 21073-230, Brazil;-22.852353;-43.2743627
Av. Ilha das Enxadas, 100 - Bancários, Rio de Janeiro - RJ, 21910-097, Brazil;-22.7867565;-43.1856271
Estr. dos Bandeirantes, Rio de Janeiro - RJ, Brazil;-22.9889391;-43.4405213
R. da Orquestra, 3 - Campo Grande, Rio de Janeiro - RJ, 23035-000, Brazil;-22.9456469;-43.5979146
Estrada do Rio Jequia próximo ao 486 - Zumbi, Rio de Janeiro - RJ, 21930-007, Brazil;-22.8203503;-43.1776229
R. Jupará, 91 - São Cristóvão, Rio de Janeiro - RJ, 20911-060, Brazil;-22.90259;-43.2356284
R. Campo Grande - Inhoaíba, Rio de Janeiro - RJ, Brazil;-22.9073187;-43.587621
R. Bento Lisboa, 106a - Catete, Rio de Janeiro - RJ, 22221-011, Brazil;-22.927967;-43.1799341
R. Campo Grande, Rio de Janeiro - RJ, Brazil;-22.9046512;-43.5735721
Av. das Américas, Rio de Janeiro - RJ, Brazil;-23.0076006;-43.4381311
Praça Emboaba - Engenho da Rainha, Rio de Janeiro - RJ, 20765-630, Brazil;-22.871434;-43.29267410000001
R. 3 - Sepetiba, Rio de Janeiro - RJ, 23520-660, Brazil;-22.9647621;-43.70415759999999
Av. João XXIII, 230 - Santa Cruz, Rio de Janeiro - RJ, 23570-000, Brazil;-22.9119156;-43.6875694
Estr. do Lameirão Pequeno, 6 - Campo Grande, Rio de Janeiro - RJ, 23017-325, Brazil;-22.9178775;-43.5317831
Av. Duque de Caxias, 1551 - Deodoro, Rio de Janeiro - RJ, 21615-220, Brazil;-22.8638264;-43.39635089999999
Av. Canal do Anil, 1201 - Gardênia Azul, Rio de Janeiro - RJ, 22765-430, Brazil;-22.9657249;-43.3473055
R. Jacareúba - Cosmos, Rio de Janeiro - RJ, Brazil;-22.9174428;-43.6192808
Estr. Alm. Santiago Dantas - Barros Filho, Rio de Janeiro - RJ, 21512, Brazil;-22.8339075;-43.3679451
R. Mongólia, S/N - Bangu, Rio de Janeiro - RJ, 21825-120, Brazil;-22.8887401;-43.4692817
Rua Aveiros, 40 - IAPC - Irajá, Rio de Janeiro - RJ, 21230-540, Brazil;-22.8229505;-43.3162607
R. Gen. Sampaio, 71 - Caju, Rio de Janeiro - RJ, 20931-350, Brazil;-22.8779248;-43.21609249999999
Tv. Harã - Cidade de Deus, Rio de Janeiro - RJ, Brazil;-22.9506646;-43.3618816
R. Manoel da Silva Falcão, S/N - Manguinhos, Rio de Janeiro - RJ, 21041-610, Brazil;-22.8764981;-43.2388208
R. Santa Engrácia - Penha, Rio de Janeiro - RJ, 21021-070, Brazil;-22.8391166;-43.2681161
R. Itapiru, Rio de Janeiro - RJ, Brazil;-22.922503;-43.1974191
Praça Gen. Alcio Souto, 37 - Lagoa, Rio de Janeiro - RJ, 22471-310, Brazil;-22.9618797;-43.203543
R. Joaquim Pizarro, 10 - Tijuca, Rio de Janeiro - RJ, 20261-110, Brazil;-22.923108;-43.215692
R. Jordão, 743 - Tanque, Rio de Janeiro - RJ, 22725-551, Brazil;-22.909929;-43.371253
Av. Guilherme Maxwel, 107 - Maré, Rio de Janeiro - RJ, 21040-211, Brazil;-22.8651791;-43.2431937
Estr. Manuel Nogueira de Sá, Rio de Janeiro - RJ, Brazil;-22.8885564;-43.4140127
R. Enéas Martins, 948 - Guadalupe, Rio de Janeiro - RJ, 21660-320, Brazil;-22.833716;-43.373781
R. José Fernandes, S/N - Sepetiba, Rio de Janeiro - RJ, 23535-450, Brazil;-22.9753144;-43.6943607
R. São Dagoberto, 2 - Realengo, Rio de Janeiro - RJ, 21730-450, Brazil;-22.8634503;-43.4267177
Av. Cesário de Melo - Santa Cruz, Rio de Janeiro - RJ, Brazil;-22.9202074;-43.6428119
Centro, Rio de Janeiro - State of Rio de Janeiro, 20040-002, Brazil;-22.9070704;-43.1775458
R. Carmela Dutra, 21 - Tijuca, Rio de Janeiro - RJ, 20520-080, Brazil;-22.924641;-43.2266394
Estrada de Manguariba - Paciência, Rio de Janeiro - RJ, 23065-480, Brazil;-22.8752984;-43.6348691
R. Nossa Sra. do Amparo, s/n - Pavuna, Rio de Janeiro - RJ, 21532-680, Brazil;-22.821536;-43.3605722
Estr. do Mato Alto, 4790 - Guaratiba, Rio de Janeiro - RJ, 23030-320, Brazil;-22.9677045;-43.58932799999999
